排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,41.05,41.05,229.66,229.66,5457,0.04,0.06,compute_rhs_bssn_
2,24.94,65.99,139.54,369.2,1765914927,0.0,0.0,polint_
3,5.99,71.98,33.52,402.72,130968,0.0,0.0,lopsided_
4,5.08,77.06,28.4,431.12,60027,0.0,0.0,fdderivs_
5,4.65,81.71,26.0,457.12,251030,0.0,0.0,prolong3_
6,4.1,85.81,22.94,480.06,130968,0.0,0.0,kodis_
7,3.73,89.54,20.87,500.93,91237,0.0,0.0,fderivs_
8,1.86,91.4,10.42,511.35,,,,_init
9,1.67,93.07,9.35,520.7,5280,0.0,0.0,enforce_ga_
10,1.43,94.5,7.99,528.69,126720,0.0,0.0,rungekutta4_rout_
11,1.36,95.86,7.63,536.32,796440,0.0,0.0,symmetry_bd_
12,1.22,97.08,6.8,543.12,41067789,0.0,0.0,polin3_
13,0.64,97.72,3.59,546.71,130290,0.0,0.0,restrict3_
14,0.52,98.24,2.89,549.6,41067789,0.0,0.0,decide3d_
15,0.4,98.64,2.25,551.85,15936,0.0,0.0,average2_
16,0.22,98.86,1.24,553.09,521994240,0.0,0.0,misc::fact(int)
17,0.18,99.04,1.01,554.1,1627131,0.0,0.0,copy_
18,0.18,99.22,1.01,555.11,240,0.0,0.0,admmass_bssn_
19,0.14,99.36,0.78,555.89,41067789,0.0,0.0,global_interp_
20,0.13,99.49,0.74,556.63,20,0.04,0.04,getnp4_
21,0.12,99.61,0.69,557.32,1760,0.0,0.09,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
22,0.07,99.68,0.38,557.7,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
23,0.06,99.74,0.36,558.06,5280,0.0,0.0,lowerboundset_
24,0.06,99.8,0.33,558.39,240,0.0,0.09,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
25,0.06,99.86,0.31,558.7,607446,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
26,0.02,99.88,0.13,558.83,872106,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
27,0.02,99.9,0.11,558.94,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
28,0.02,99.92,0.09,559.03,1320,0.0,0.39,"bssn_class::Step(int, int)"
29,0.01,99.93,0.07,559.1,840,0.0,0.0,l2normhelper_
30,0.01,99.94,0.06,559.16,124800,0.0,0.0,sommerfeld_rout_
31,0.01,99.95,0.05,559.21,9,0.01,0.01,get_ansorg_nbhs_
32,0.01,99.96,0.04,559.25,240,0.0,0.09,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
33,0.01,99.97,0.03,559.28,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
34,0.01,99.98,0.03,559.31,1920,0.0,0.0,sommerfeld_routbam_
35,0.0,99.98,0.02,559.33,13214167,0.0,0.0,Block::getdX(int)
36,0.0,99.98,0.02,559.35,120,0.0,0.0,average_
37,0.0,99.98,0.01,559.36,1822338,0.0,0.0,"Ansorg::find_point_bisection(double, int, double*, int)"
38,0.0,99.98,0.01,559.37,607446,0.0,0.0,"Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)"
39,0.0,99.98,0.01,559.38,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
40,0.0,99.98,0.01,559.39,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
41,0.0,99.98,0.01,559.4,42240,0.0,0.0,"Block::swapList(MyList<var>*, MyList<var>*, int)"
42,0.0,99.98,0.01,559.41,1093,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
43,0.0,99.98,0.0,559.41,701658,0.0,0.0,Patch::getdX(int)
44,0.0,99.98,0.0,559.41,607446,0.0,0.0,"Ansorg::ps_u_at_xyz(double, double, double)"
45,0.0,99.98,0.0,559.41,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
46,0.0,99.98,0.0,559.41,120144,0.0,0.0,"Parallel::build_owned_gsl0(Patch*, int)"
47,0.0,99.98,0.0,559.41,65696,0.0,0.0,"Parallel::build_bulk_gsl(Block*, Patch*)"
48,0.0,99.98,0.0,559.41,35552,0.0,0.0,"Parallel::build_owned_gsl4(Patch*, int, int)"
49,0.0,99.98,0.0,559.41,21821,0.0,0.0,Parallel::build_complete_gsl(Patch*)
50,0.0,99.98,0.0,559.41,21000,0.0,0.0,"cgh::Interp_One_Point(MyList<var>*, double*, double*, int)"
51,0.0,99.98,0.0,559.41,19327,0.0,0.0,"Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
52,0.0,99.98,0.0,559.41,19278,0.0,0.0,Parallel::build_buffer_gsl(Patch*)
53,0.0,99.98,0.0,559.41,14923,0.0,0.0,Parallel::build_ghost_gsl(Patch*)
54,0.0,99.98,0.0,559.41,14923,0.0,0.0,"Parallel::Sync(Patch*, MyList<var>*, int)"
55,0.0,99.98,0.0,559.41,8212,0.0,0.0,"Parallel::Sync(MyList<Patch>*, MyList<var>*, int)"
56,0.0,99.98,0.0,559.41,4355,0.0,0.0,"Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)"
57,0.0,99.98,0.0,559.41,1939,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)"
58,0.0,99.98,0.0,559.41,1406,0.0,0.0,"Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)"
59,0.0,99.98,0.0,559.41,1321,0.0,0.0,"setpbh(int, double**, double*, int)"
60,0.0,99.98,0.0,559.41,1308,0.0,0.01,bssn_class::Constraint_Out()
61,0.0,99.98,0.0,559.41,1280,0.0,0.09,"Parallel::PatList_Interp_Points(MyList<Patch>*, MyList<var>*, int, double**, double*, int)"
