排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,42.24,42.24,233.2,233.2,5457,0.04,0.06,compute_rhs_bssn_
2,22.41,64.65,123.74,356.94,1559775550,0.0,0.0,polint_
3,6.36,71.01,35.13,392.07,130968,0.0,0.0,lopsided_
4,5.31,76.32,29.33,421.4,60027,0.0,0.0,fdderivs_
5,4.86,81.18,26.85,448.25,255590,0.0,0.0,prolong3_
6,4.46,85.64,24.64,472.89,130968,0.0,0.0,kodis_
7,3.8,89.44,20.97,493.86,91237,0.0,0.0,fderivs_
8,1.77,91.21,9.76,503.62,,,,_init
9,1.7,92.91,9.37,512.99,5280,0.0,0.0,enforce_ga_
10,1.54,94.45,8.52,521.51,796872,0.0,0.0,symmetry_bd_
11,1.51,95.96,8.36,529.87,126720,0.0,0.0,rungekutta4_rout_
12,1.07,97.03,5.91,535.78,36273850,0.0,0.0,polin3_
13,0.77,97.8,4.24,540.02,126162,0.0,0.0,restrict3_
14,0.47,98.27,2.59,542.61,36273850,0.0,0.0,decide3d_
15,0.43,98.7,2.35,544.96,15936,0.0,0.0,average2_
16,0.24,98.94,1.31,546.27,521994240,0.0,0.0,misc::fact(int)
17,0.19,99.13,1.07,547.34,240,0.0,0.0,admmass_bssn_
18,0.15,99.28,0.82,548.16,20,0.04,0.04,getnp4_
19,0.14,99.42,0.76,548.92,1760,0.0,0.08,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
20,0.12,99.54,0.67,549.59,1677798,0.0,0.0,copy_
21,0.11,99.65,0.58,550.17,36273850,0.0,0.0,global_interp_
22,0.06,99.71,0.34,550.51,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
23,0.05,99.76,0.29,550.8,610416,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
24,0.05,99.81,0.29,551.09,240,0.0,0.08,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
25,0.04,99.85,0.21,551.3,5280,0.0,0.0,lowerboundset_
26,0.03,99.88,0.15,551.45,873262,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
27,0.02,99.9,0.1,551.55,124800,0.0,0.0,sommerfeld_rout_
28,0.02,99.92,0.09,551.64,1320,0.0,0.39,"bssn_class::Step(int, int)"
29,0.01,99.93,0.08,551.72,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
30,0.01,99.94,0.08,551.8,240,0.0,0.08,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
31,0.01,99.95,0.07,551.87,840,0.0,0.0,l2normhelper_
32,0.01,99.96,0.05,551.92,9,0.01,0.01,get_ansorg_nbhs_
33,0.0,99.96,0.02,551.94,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
34,0.0,99.96,0.02,551.96,120,0.0,0.0,average_
35,0.0,99.96,0.01,551.97,13214167,0.0,0.0,Block::getdX(int)
36,0.0,99.96,0.01,551.98,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
37,0.0,99.96,0.01,551.99,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
38,0.0,99.96,0.01,552.0,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
39,0.0,99.96,0.01,552.01,21000,0.0,0.0,"cgh::Interp_One_Point(MyList<var>*, double*, double*, int)"
40,0.0,99.96,0.01,552.02,1920,0.0,0.0,sommerfeld_routbam_
41,0.0,99.96,0.01,552.03,1406,0.0,0.0,"Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)"
42,0.0,99.96,0.01,552.04,1093,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
