排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,57.5,57.5,223.33,223.33,5457,0.04,0.06,compute_rhs_bssn_
2,8.98,66.48,34.86,258.19,130968,0.0,0.0,lopsided_
3,7.15,73.63,27.78,285.97,60027,0.0,0.0,fdderivs_
4,5.95,79.58,23.11,309.08,130968,0.0,0.0,kodis_
5,5.4,84.98,20.97,330.05,91237,0.0,0.0,fderivs_
6,5.05,90.03,19.63,349.68,207686,0.0,0.0,prolong3_
7,2.25,92.28,8.72,358.4,5280,0.0,0.0,enforce_ga_
8,2.2,94.48,8.53,366.93,126720,0.0,0.0,rungekutta4_rout_
9,1.75,96.23,6.81,373.74,752876,0.0,0.0,symmetry_bd_
10,0.85,97.08,3.3,377.04,130070,0.0,0.0,restrict3_
11,0.82,97.9,3.19,380.23,,,,_init
12,0.5,98.4,1.96,382.19,15936,0.0,0.0,average2_
13,0.32,98.72,1.25,383.44,521994240,0.0,0.0,misc::fact(int)
14,0.23,98.95,0.91,384.35,240,0.0,0.0,admmass_bssn_
15,0.2,99.15,0.79,385.14,1579063,0.0,0.0,copy_
16,0.2,99.35,0.78,385.92,20,0.04,0.04,getnp4_
17,0.08,99.43,0.31,386.23,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
18,0.08,99.51,0.3,386.53,1760,0.0,0.0,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
19,0.07,99.58,0.28,386.81,566136,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
20,0.06,99.64,0.24,387.05,1802560,0.0,0.0,polint_
21,0.06,99.7,0.24,387.29,5280,0.0,0.0,lowerboundset_
22,0.06,99.76,0.23,387.52,240,0.0,0.01,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
23,0.03,99.79,0.12,387.64,870502,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
24,0.03,99.82,0.12,387.76,1320,0.0,0.27,"bssn_class::Step(int, int)"
25,0.03,99.85,0.11,387.87,124800,0.0,0.0,sommerfeld_rout_
26,0.03,99.88,0.11,387.98,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
27,0.02,99.9,0.09,388.07,1920,0.0,0.0,sommerfeld_routbam_
28,0.02,99.92,0.06,388.13,240,0.0,0.0,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
29,0.01,99.93,0.05,388.18,1260,0.0,0.0,l2normhelper_
30,0.01,99.94,0.03,388.21,13214167,0.0,0.0,Block::getdX(int)
31,0.01,99.95,0.03,388.24,9,0.0,0.0,get_ansorg_nbhs_
32,0.01,99.96,0.02,388.26,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
33,0.01,99.97,0.02,388.28,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
34,0.01,99.98,0.02,388.3,120,0.0,0.0,average_
35,0.0,99.98,0.01,388.31,566136,0.0,0.0,"Ansorg::ps_u_at_xyz(double, double, double)"
36,0.0,99.98,0.01,388.32,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
37,0.0,99.98,0.01,388.33,41920,0.0,0.0,decide3d_
38,0.0,99.98,0.01,388.34,35552,0.0,0.0,"Parallel::build_owned_gsl4(Patch*, int, int)"
39,0.0,99.98,0.01,388.35,14923,0.0,0.0,"Parallel::Sync(Patch*, MyList<var>*, int)"
40,0.0,99.98,0.01,388.36,8212,0.0,0.0,"Parallel::Sync(MyList<Patch>*, MyList<var>*, int)"
41,0.0,99.98,0.01,388.37,1093,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
42,0.0,99.98,0.0,388.37,1698408,0.0,0.0,"Ansorg::find_point_bisection(double, int, double*, int)"
43,0.0,99.98,0.0,388.37,701658,0.0,0.0,Patch::getdX(int)
44,0.0,99.98,0.0,388.37,566136,0.0,0.0,"Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)"
45,0.0,99.98,0.0,388.37,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
46,0.0,99.98,0.0,388.37,120144,0.0,0.0,"Parallel::build_owned_gsl0(Patch*, int)"
47,0.0,99.98,0.0,388.37,65696,0.0,0.0,"Parallel::build_bulk_gsl(Block*, Patch*)"
48,0.0,99.98,0.0,388.37,42240,0.0,0.0,"Block::swapList(MyList<var>*, MyList<var>*, int)"
49,0.0,99.98,0.0,388.37,41920,0.0,0.0,global_interp_
50,0.0,99.98,0.0,388.37,41920,0.0,0.0,polin3_
51,0.0,99.98,0.0,388.37,21821,0.0,0.0,Parallel::build_complete_gsl(Patch*)
52,0.0,99.98,0.0,388.37,21000,0.0,0.0,"cgh::Interp_One_Point(MyList<var>*, double*, double*, int)"
53,0.0,99.98,0.0,388.37,19327,0.0,0.0,"Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
54,0.0,99.98,0.0,388.37,19278,0.0,0.0,Parallel::build_buffer_gsl(Patch*)
55,0.0,99.98,0.0,388.37,14923,0.0,0.0,Parallel::build_ghost_gsl(Patch*)
56,0.0,99.98,0.0,388.37,4355,0.0,0.0,"Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)"
57,0.0,99.98,0.0,388.37,1939,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)"
58,0.0,99.98,0.0,388.37,1406,0.0,0.0,"Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)"
59,0.0,99.98,0.0,388.37,1321,0.0,0.0,"setpbh(int, double**, double*, int)"
60,0.0,99.98,0.0,388.37,1308,0.0,0.01,bssn_class::Constraint_Out()
61,0.0,99.98,0.0,388.37,1280,0.0,0.0,"Parallel::PatList_Interp_Points(MyList<Patch>*, MyList<var>*, int, double**, double*, int)"
62,0.0,99.98,0.0,388.37,1260,0.0,0.0,"Parallel::L2Norm(Patch*, var*)"
63,0.0,99.98,0.0,388.37,700,0.0,0.0,"cgh::Regrid_Onelevel(int, int, int, double**, double**, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, bool, monitor*)"
64,0.0,99.98,0.0,388.37,640,0.0,0.0,"bssn_class::compute_Porg_rhs(double**, double**, var*, var*, var*, int)"
65,0.0,99.98,0.0,388.37,639,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&, int&, int&)"
66,0.0,99.98,0.0,388.37,464,0.0,0.0,"Block::Block(int, int*, double*, int, int, int, int, int)"
67,0.0,99.98,0.0,388.37,464,0.0,0.0,Block::~Block()
68,0.0,99.98,0.0,388.37,440,0.0,0.0,"monitor::writefile(double, int, double*)"
69,0.0,99.98,0.0,388.37,240,0.0,0.0,"monitor::writefile(double, int, double*, double*)"
70,0.0,99.98,0.0,388.37,167,0.0,0.0,"var::var(char const*, int, double, double, double)"
71,0.0,99.98,0.0,388.37,167,0.0,0.0,var::~var()
72,0.0,99.98,0.0,388.37,107,0.0,0.0,"Patch::Patch(int, int*, double*, int, bool, int)"
73,0.0,99.98,0.0,388.37,107,0.0,0.0,Patch::~Patch()
74,0.0,99.98,0.0,388.37,107,0.0,0.0,"Parallel::partition3(int*, int, int*, int, int*)"
75,0.0,99.98,0.0,388.37,58,0.0,0.0,"cgh::construct_patchlist(int, int)"
76,0.0,99.98,0.0,388.37,58,0.0,0.0,Parallel::KillBlocks(MyList<Patch>*)
77,0.0,99.98,0.0,388.37,58,0.0,0.0,"Parallel::distribute(MyList<Patch>*, int, int, int, bool, int)"
78,0.0,99.98,0.0,388.37,58,0.0,0.0,Parallel::add_ghost_touch(MyList<Parallel::gridseg>*&)
79,0.0,99.98,0.0,388.37,58,0.0,0.0,Parallel::cut_gsl(MyList<Parallel::gridseg>*&)
80,0.0,99.98,0.0,388.37,58,0.0,0.0,"Parallel::merge_gsl(MyList<Parallel::gridseg>*&, double)"
81,0.0,99.98,0.0,388.37,53,0.0,0.0,"Parallel::checkgsl(MyList<Parallel::gridseg>*, bool)"
82,0.0,99.98,0.0,388.37,49,0.0,0.01,"cgh::recompose_cgh_Onelevel(int, int, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int, bool)"
83,0.0,99.98,0.0,388.37,49,0.0,0.01,"Parallel::fill_level_data(MyList<Patch>*, MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int, bool, bool)"
84,0.0,99.98,0.0,388.37,49,0.0,0.0,Parallel::build_complete_gsl_virtual(MyList<Patch>*)
85,0.0,99.98,0.0,388.37,49,0.0,0.0,"Parallel::cut_gs(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*&)"
86,0.0,99.98,0.0,388.37,21,0.0,0.03,bssn_class::Interp_Constraint(bool)
87,0.0,99.98,0.0,388.37,21,0.0,0.21,bssn_class::Compute_Constraint()
88,0.0,99.98,0.0,388.37,21,0.0,0.52,"cgh::cgh(int, int, int, char*, int, monitor*)"
89,0.0,99.98,0.0,388.37,20,0.0,0.04,bssn_class::Compute_Psi4(int)
90,0.0,99.98,0.0,388.37,20,0.0,18.42,bssn_class::RecursiveStep(int)
91,0.0,99.98,0.0,388.37,20,0.0,0.0,"perf::MemoryUsage(unsigned long*, unsigned long*, unsigned long*, unsigned long*, unsigned long*, unsigned long*, int)"
92,0.0,99.98,0.0,388.37,20,0.0,0.0,perf::sample_mem_usage(int)
93,0.0,99.98,0.0,388.37,15,0.0,0.0,var::setpropspeed(double)
94,0.0,99.98,0.0,388.37,13,0.0,0.0,"Parallel::aligncheck(double*, double*, int, double*, int*)"
95,0.0,99.98,0.0,388.37,12,0.0,0.0,Patch::checkPatch(bool)
96,0.0,99.98,0.0,388.37,12,0.0,0.0,"Parallel::Dump_Data(Patch*, MyList<var>*, char*, double, double, int)"
97,0.0,99.98,0.0,388.37,9,0.0,0.0,"Parallel::Dump_Data(MyList<Patch>*, MyList<var>*, char*, double, double)"
98,0.0,99.98,0.0,388.37,9,0.0,0.0,"std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)"
99,0.0,99.98,0.0,388.37,7,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
100,0.0,99.98,0.0,388.37,5,0.0,0.0,monitor::~monitor()
101,0.0,99.98,0.0,388.37,3,0.0,0.0,frame_dummy
102,0.0,99.98,0.0,388.37,2,0.0,0.0,checkpoint::addvariablelist(MyList<var>*)
103,0.0,99.98,0.0,388.37,2,0.0,0.0,"misc::inversearray(double*, int)"
104,0.0,99.98,0.0,388.37,2,0.0,0.0,"std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~pair()"
105,0.0,99.98,0.0,388.37,2,0.0,0.0,"std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_insert_unique<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&&)"
106,0.0,99.98,0.0,388.37,1,0.0,0.52,bssn_class::Initialize()
107,0.0,99.98,0.0,388.37,1,0.0,0.53,bssn_class::Read_Ansorg()
108,0.0,99.98,0.0,388.37,1,0.0,0.0,bssn_class::Setup_Black_Hole_position()
109,0.0,99.98,0.0,388.37,1,0.0,384.13,bssn_class::Evolve(int)
110,0.0,99.98,0.0,388.37,1,0.0,0.0,"bssn_class::bssn_class(double, double, double, double, double, double, double, int, int, char*, double, double, double, int, int, int, double, double)"
111,0.0,99.98,0.0,388.37,1,0.0,0.0,bssn_class::~bssn_class()
112,0.0,99.98,0.0,388.37,1,0.0,0.0,"checkpoint::checkpoint(bool, char const*, int)"
113,0.0,99.98,0.0,388.37,1,0.0,0.0,checkpoint::~checkpoint()
114,0.0,99.98,0.0,388.37,1,0.0,0.0,surface_integral::surface_integral(int)
115,0.0,99.98,0.0,388.37,1,0.0,0.0,surface_integral::~surface_integral()
116,0.0,99.98,0.0,388.37,1,0.0,0.0,cgh::compose_cgh(int)
117,0.0,99.98,0.0,388.37,1,0.0,0.0,cgh::settrfls(int)
118,0.0,99.98,0.0,388.37,1,0.0,0.0,"cgh::read_bbox(int, char*)"
119,0.0,99.98,0.0,388.37,1,0.0,0.0,cgh::sethandle(monitor*)
120,0.0,99.98,0.0,388.37,1,0.0,0.0,cgh::~cgh()
121,0.0,99.98,0.0,388.37,1,0.0,0.0,"misc::gaulegf(double, double, double*, double*, int)"
122,0.0,99.98,0.0,388.37,1,0.0,0.0,perf::perf()
123,0.0,99.98,0.0,388.37,1,0.0,0.0,perf::~perf()
124,0.0,99.98,0.0,388.37,1,0.0,0.0,Ansorg::set_ABp()
125,0.0,99.98,0.0,388.37,1,0.0,0.0,"Ansorg::Ansorg(char*, int)"
126,0.0,99.98,0.0,388.37,1,0.0,0.0,Ansorg::~Ansorg()
127,0.0,99.98,0.0,388.37,1,0.0,0.0,"monitor::print_message(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
128,0.0,99.98,0.0,388.37,1,0.0,0.0,"std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::~map()"
129,0.0,99.98,0.0,388.37,1,0.0,0.0,"std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const (&) [9], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, true>(char const (&) [9], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)"
