Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    569.99     0.00      640     0.00     0.17  bssn_class::compute_Porg_rhs(double**, double**, var*, var*, var*, int)
  0.00    569.99     0.00      639     0.00     0.00  misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&, int&, int&)
  0.00    569.99     0.00      464     0.00     0.00  Block::Block(int, int*, double*, int, int, int, int, int)
  0.00    569.99     0.00      464     0.00     0.00  Block::~Block()
  0.00    569.99     0.00      440     0.00     0.00  monitor::writefile(double, int, double*)
  0.00    569.99     0.00      240     0.00     0.00  monitor::writefile(double, int, double*, double*)
  0.00    569.99     0.00      167     0.00     0.00  var::var(char const*, int, double, double, double)
  0.00    569.99     0.00      167     0.00     0.00  var::~var()
  0.00    569.99     0.00      107     0.00     0.00  Patch::Patch(int, int*, double*, int, bool, int)
  0.00    569.99     0.00      107     0.00     0.00  Patch::~Patch()
  0.00    569.99     0.00      107     0.00     0.00  Parallel::partition3(int*, int, int*, int, int*)
  0.00    569.99     0.00       58     0.00     0.00  cgh::construct_patchlist(int, int)
  0.00    569.99     0.00       58     0.00     0.00  Parallel::KillBlocks(MyList<Patch>*)
  0.00    569.99     0.00       58     0.00     0.00  Parallel::distribute(MyList<Patch>*, int, int, int, bool, int)
  0.00    569.99     0.00       58     0.00     0.00  Parallel::add_ghost_touch(MyList<Parallel::gridseg>*&)
  0.00    569.99     0.00       58     0.00     0.00  Parallel::cut_gsl(MyList<Parallel::gridseg>*&)
  0.00    569.99     0.00       58     0.00     0.00  Parallel::merge_gsl(MyList<Parallel::gridseg>*&, double)
  0.00    569.99     0.00       53     0.00     0.00  Parallel::checkgsl(MyList<Parallel::gridseg>*, bool)
  0.00    569.99     0.00       49     0.00     0.01  cgh::recompose_cgh_Onelevel(int, int, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int, bool)
