Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 57.50    223.33   223.33     5457     0.04     0.06  compute_rhs_bssn_
  8.98    258.19    34.86   130968     0.00     0.00  lopsided_
  7.15    285.97    27.78    60027     0.00     0.00  fdderivs_
  5.95    309.08    23.11   130968     0.00     0.00  kodis_
  5.40    330.05    20.97    91237     0.00     0.00  fderivs_
  5.05    349.68    19.63   207686     0.00     0.00  prolong3_
  2.25    358.40     8.72     5280     0.00     0.00  enforce_ga_
  2.20    366.93     8.53   126720     0.00     0.00  rungekutta4_rout_
  1.75    373.74     6.81   752876     0.00     0.00  symmetry_bd_
  0.85    377.04     3.30   130070     0.00     0.00  restrict3_
  0.82    380.23     3.19                             _init
  0.50    382.19     1.96    15936     0.00     0.00  average2_
  0.32    383.44     1.25 521994240     0.00     0.00  misc::fact(int)
  0.23    384.35     0.91      240     0.00     0.00  admmass_bssn_
  0.20    385.14     0.79  1579063     0.00     0.00  copy_
  0.20    385.92     0.78       20     0.04     0.04  getnp4_
  0.08    386.23     0.31 46448640     0.00     0.00  misc::Wigner_d_function(int, int, int, double)
  0.08    386.53     0.30     1760     0.00     0.00  Patch::Interp_Points(MyList<var>*, int, double**, double*, int)
  0.07    386.81     0.28   566136     0.00     0.00  Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)
  0.06    387.05     0.24  1802560     0.00     0.00  polint_
  0.06    387.29     0.24     5280     0.00     0.00  lowerboundset_
  0.06    387.52     0.23      240     0.00     0.01  surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)
  0.03    387.64     0.12   870502     0.00     0.00  monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.03    387.76     0.12     1320     0.00     0.27  bssn_class::Step(int, int)
  0.03    387.87     0.11   124800     0.00     0.00  sommerfeld_rout_
  0.03    387.98     0.11    29043     0.00     0.00  Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)
  0.02    388.07     0.09     1920     0.00     0.00  sommerfeld_routbam_
  0.02    388.13     0.06      240     0.00     0.00  surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)
  0.01    388.18     0.05     1260     0.00     0.00  l2normhelper_
  0.01    388.21     0.03 13214167     0.00     0.00  Block::getdX(int)
  0.01    388.24     0.03        9     0.00     0.00  get_ansorg_nbhs_
  0.01    388.26     0.02   230517     0.00     0.00  Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)
  0.01    388.28     0.02   150168     0.00     0.00  Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)
  0.01    388.30     0.02      120     0.00     0.00  average_
  0.00    388.31     0.01   566136     0.00     0.00  Ansorg::ps_u_at_xyz(double, double, double)
  0.00    388.32     0.01   140352     0.00     0.00  Parallel::build_owned_gsl2(Patch*, int)
  0.00    388.33     0.01    41920     0.00     0.00  decide3d_
  0.00    388.34     0.01    35552     0.00     0.00  Parallel::build_owned_gsl4(Patch*, int, int)
  0.00    388.35     0.01    14923     0.00     0.00  Parallel::Sync(Patch*, MyList<var>*, int)
  0.00    388.36     0.01     8212     0.00     0.00  Parallel::Sync(MyList<Patch>*, MyList<var>*, int)
  0.00    388.37     0.01     1093     0.00     0.00  Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)
  0.00    388.37     0.00  1698408     0.00     0.00  Ansorg::find_point_bisection(double, int, double*, int)
  0.00    388.37     0.00   701658     0.00     0.00  Patch::getdX(int)
  0.00    388.37     0.00   566136     0.00     0.00  Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)
  0.00    388.37     0.00   231952     0.00     0.00  Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)
  0.00    388.37     0.00   120144     0.00     0.00  Parallel::build_owned_gsl0(Patch*, int)
  0.00    388.37     0.00    65696     0.00     0.00  Parallel::build_bulk_gsl(Block*, Patch*)
  0.00    388.37     0.00    42240     0.00     0.00  Block::swapList(MyList<var>*, MyList<var>*, int)
  0.00    388.37     0.00    41920     0.00     0.00  global_interp_
  0.00    388.37     0.00    41920     0.00     0.00  polin3_
  0.00    388.37     0.00    21821     0.00     0.00  Parallel::build_complete_gsl(Patch*)
  0.00    388.37     0.00    21000     0.00     0.00  cgh::Interp_One_Point(MyList<var>*, double*, double*, int)
  0.00    388.37     0.00    19327     0.00     0.00  Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)
  0.00    388.37     0.00    19278     0.00     0.00  Parallel::build_buffer_gsl(Patch*)
  0.00    388.37     0.00    14923     0.00     0.00  Parallel::build_ghost_gsl(Patch*)
  0.00    388.37     0.00     4355     0.00     0.00  Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)
  0.00    388.37     0.00     1939     0.00     0.00  misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)
