Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 57.43    221.72   221.72     5457     0.04     0.06  compute_rhs_bssn_
  9.02    256.56    34.84   130968     0.00     0.00  lopsided_
  7.11    284.00    27.44    60027     0.00     0.00  fdderivs_
  5.99    307.13    23.13   130968     0.00     0.00  kodis_
  5.39    327.94    20.81    91237     0.00     0.00  fderivs_
  5.17    347.89    19.95   213254     0.00     0.00  prolong3_
  2.25    356.58     8.69     5280     0.00     0.00  enforce_ga_
  2.20    365.09     8.51   126720     0.00     0.00  rungekutta4_rout_
  1.72    371.72     6.63   757580     0.00     0.00  symmetry_bd_
  0.87    375.06     3.34   129206     0.00     0.00  restrict3_
  0.73    377.86     2.80                             _init
  0.56    380.02     2.16    15936     0.00     0.00  average2_
  0.36    381.42     1.40 521994240     0.00     0.00  misc::fact(int)
  0.25    382.37     0.95      240     0.00     0.00  admmass_bssn_
  0.20    383.15     0.78       20     0.04     0.04  getnp4_
  0.18    383.85     0.70  1585660     0.00     0.00  copy_
  0.10    384.22     0.37 46448640     0.00     0.00  misc::Wigner_d_function(int, int, int, double)
  0.09    384.55     0.33     1760     0.00     0.00  Patch::Interp_Points(MyList<var>*, int, double**, double*, int)
  0.07    384.83     0.28   566136     0.00     0.00  Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)
  0.06    385.06     0.23      240     0.00     0.01  surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)
  0.04    385.22     0.16     5280     0.00     0.00  lowerboundset_
  0.04    385.37     0.15   124800     0.00     0.00  sommerfeld_rout_
  0.03    385.50     0.13    29043     0.00     0.00  Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)
  0.03    385.60     0.10     1920     0.00     0.00  sommerfeld_routbam_
  0.02    385.68     0.08   870630     0.00     0.00  monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.02    385.76     0.08      840     0.00     0.00  l2normhelper_
  0.02    385.82     0.06     1320     0.00     0.27  bssn_class::Step(int, int)
  0.01    385.86     0.04      240     0.00     0.00  surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)
  0.01    385.90     0.04        9     0.00     0.00  get_ansorg_nbhs_
  0.01    385.92     0.02 13214167     0.00     0.00  Block::getdX(int)
  0.01    385.94     0.02   231952     0.00     0.00  Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)
  0.01    385.96     0.02    14923     0.00     0.00  Parallel::build_ghost_gsl(Patch*)
  0.01    385.98     0.02    14923     0.00     0.00  Parallel::Sync(Patch*, MyList<var>*, int)
  0.01    386.00     0.02      120     0.00     0.00  average_
  0.00    386.01     0.01   566136     0.00     0.00  Ansorg::ps_u_at_xyz(double, double, double)
