排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,57.61,57.61,219.54,219.54,5457,0.04,0.06,compute_rhs_bssn_
2,8.72,66.33,33.24,252.78,130968,0.0,0.0,lopsided_
3,7.3,73.63,27.81,280.59,60027,0.0,0.0,fdderivs_
4,6.15,79.78,23.42,304.01,130968,0.0,0.0,kodis_
5,5.35,85.13,20.38,324.39,91237,0.0,0.0,fderivs_
6,4.74,89.87,18.08,342.47,202097,0.0,0.0,prolong3_
7,2.24,92.11,8.53,351.0,126720,0.0,0.0,rungekutta4_rout_
8,2.23,94.34,8.48,359.48,5280,0.0,0.0,enforce_ga_
9,1.8,96.14,6.85,366.33,734683,0.0,0.0,symmetry_bd_
10,0.87,97.01,3.32,369.65,117466,0.0,0.0,restrict3_
11,0.73,97.74,2.77,372.42,,,,_init
12,0.53,98.27,2.03,374.45,15936,0.0,0.0,average2_
13,0.44,98.71,1.66,376.11,521994240,0.0,0.0,misc::fact(int)
14,0.24,98.95,0.92,377.03,240,0.0,0.0,admmass_bssn_
15,0.2,99.15,0.75,377.78,1518912,0.0,0.0,copy_
16,0.19,99.34,0.72,378.5,20,0.04,0.04,getnp4_
17,0.11,99.45,0.41,378.91,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
18,0.09,99.54,0.36,379.27,240,0.0,0.01,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
19,0.09,99.63,0.35,379.62,1760,0.0,0.0,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
20,0.08,99.71,0.29,379.91,5280,0.0,0.0,lowerboundset_
21,0.07,99.78,0.28,380.19,563166,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
22,0.03,99.81,0.13,380.32,1920,0.0,0.0,sommerfeld_routbam_
23,0.03,99.84,0.12,380.44,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
24,0.03,99.87,0.11,380.55,124800,0.0,0.0,sommerfeld_rout_
25,0.03,99.9,0.1,380.65,868654,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
26,0.02,99.92,0.08,380.73,240,0.0,0.0,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
27,0.02,99.94,0.07,380.8,840,0.0,0.0,l2normhelper_
28,0.01,99.95,0.05,380.85,1320,0.0,0.27,"bssn_class::Step(int, int)"
29,0.01,99.96,0.04,380.89,14923,0.0,0.0,"Parallel::Sync(Patch*, MyList<var>*, int)"
30,0.01,99.97,0.03,380.92,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
31,0.01,99.98,0.03,380.95,120,0.0,0.0,average_
32,0.01,99.99,0.03,380.98,9,0.0,0.0,get_ansorg_nbhs_
33,0.01,100.0,0.02,381.0,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
34,0.01,100.01,0.02,381.02,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
35,0.0,100.01,0.01,381.03,13214167,0.0,0.0,Block::getdX(int)
36,0.0,100.01,0.01,381.04,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
37,0.0,100.01,0.01,381.05,14923,0.0,0.0,Parallel::build_ghost_gsl(Patch*)
38,0.0,100.01,0.01,381.06,8212,0.0,0.0,"Parallel::Sync(MyList<Patch>*, MyList<var>*, int)"
39,0.0,100.01,0.0,381.06,1689498,0.0,0.0,"Ansorg::find_point_bisection(double, int, double*, int)"
40,0.0,100.01,0.0,381.06,701658,0.0,0.0,Patch::getdX(int)
41,0.0,100.01,0.0,381.06,563166,0.0,0.0,"Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)"
42,0.0,100.01,0.0,381.06,563166,0.0,0.0,"Ansorg::ps_u_at_xyz(double, double, double)"
43,0.0,100.01,0.0,381.06,120144,0.0,0.0,"Parallel::build_owned_gsl0(Patch*, int)"
44,0.0,100.01,0.0,381.06,65696,0.0,0.0,"Parallel::build_bulk_gsl(Block*, Patch*)"
