Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 42.24    233.20   233.20     5457     0.04     0.06  compute_rhs_bssn_
 22.41    356.94   123.74 1559775550     0.00     0.00  polint_
  6.36    392.07    35.13   130968     0.00     0.00  lopsided_
  5.31    421.40    29.33    60027     0.00     0.00  fdderivs_
  4.86    448.25    26.85   255590     0.00     0.00  prolong3_
  4.46    472.89    24.64   130968     0.00     0.00  kodis_
  3.80    493.86    20.97    91237     0.00     0.00  fderivs_
  1.77    503.62     9.76                             _init
  1.70    512.99     9.37     5280     0.00     0.00  enforce_ga_
  1.54    521.51     8.52   796872     0.00     0.00  symmetry_bd_
  1.51    529.87     8.36   126720     0.00     0.00  rungekutta4_rout_
  1.07    535.78     5.91 36273850     0.00     0.00  polin3_
  0.77    540.02     4.24   126162     0.00     0.00  restrict3_
  0.47    542.61     2.59 36273850     0.00     0.00  decide3d_
  0.43    544.96     2.35    15936     0.00     0.00  average2_
  0.24    546.27     1.31 521994240     0.00     0.00  misc::fact(int)
  0.19    547.34     1.07      240     0.00     0.00  admmass_bssn_
  0.15    548.16     0.82       20     0.04     0.04  getnp4_
  0.14    548.92     0.76     1760     0.00     0.08  Patch::Interp_Points(MyList<var>*, int, double**, double*, int)
  0.12    549.59     0.67  1677798     0.00     0.00  copy_
  0.11    550.17     0.58 36273850     0.00     0.00  global_interp_
  0.06    550.51     0.34 46448640     0.00     0.00  misc::Wigner_d_function(int, int, int, double)
  0.05    550.80     0.29   610416     0.00     0.00  Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)
  0.05    551.09     0.29      240     0.00     0.08  surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)
  0.04    551.30     0.21     5280     0.00     0.00  lowerboundset_
  0.03    551.45     0.15   873262     0.00     0.00  monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.02    551.55     0.10   124800     0.00     0.00  sommerfeld_rout_
  0.02    551.64     0.09     1320     0.00     0.39  bssn_class::Step(int, int)
  0.01    551.72     0.08    29043     0.00     0.00  Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)
  0.01    551.80     0.08      240     0.00     0.08  surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)
  0.01    551.87     0.07      840     0.00     0.00  l2normhelper_
  0.01    551.92     0.05        9     0.01     0.01  get_ansorg_nbhs_
  0.00    551.94     0.02   230517     0.00     0.00  Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)
  0.00    551.96     0.02      120     0.00     0.00  average_
