Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 38.76    230.78   230.78     5457     0.04     0.06  compute_rhs_bssn_
 27.97    397.29   166.51 2134616664     0.00     0.00  polint_
  5.93    432.57    35.28   130968     0.00     0.00  lopsided_
  4.78    461.01    28.44    60027     0.00     0.00  fdderivs_
  4.61    488.47    27.46   262667     0.00     0.00  prolong3_
  3.97    512.09    23.62   130968     0.00     0.00  kodis_
  3.53    533.08    20.99    91237     0.00     0.00  fderivs_
  2.02    545.13    12.05                             _init
  1.55    554.37     9.24     5280     0.00     0.00  enforce_ga_
  1.45    563.02     8.65   126720     0.00     0.00  rungekutta4_rout_
  1.34    571.00     7.98 49642248     0.00     0.00  polin3_
  1.26    578.50     7.50   812219     0.00     0.00  symmetry_bd_
  0.62    582.21     3.71   134432     0.00     0.00  restrict3_
  0.56    585.56     3.35 49642248     0.00     0.00  decide3d_
  0.38    587.80     2.24    15936     0.00     0.00  average2_
  0.23    589.15     1.35 521994240     0.00     0.00  misc::fact(int)
  0.18    590.21     1.06      240     0.00     0.00  admmass_bssn_
  0.17    591.21     1.00 49642248     0.00     0.00  global_interp_
  0.15    592.08     0.87  1677867     0.00     0.00  copy_
  0.13    592.88     0.80       20     0.04     0.04  getnp4_
  0.12    593.57     0.69     1760     0.00     0.10  Patch::Interp_Points(MyList<var>*, int, double**, double*, int)
  0.07    593.96     0.39 46448640     0.00     0.00  misc::Wigner_d_function(int, int, int, double)
  0.05    594.28     0.32   610416     0.00     0.00  Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)
  0.04    594.53     0.25     5280     0.00     0.00  lowerboundset_
  0.04    594.75     0.22      240     0.00     0.11  surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)
  0.03    594.90     0.15   124800     0.00     0.00  sommerfeld_rout_
  0.02    595.01     0.11   873804     0.00     0.00  monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.01    595.08     0.07     1320     0.00     0.42  bssn_class::Step(int, int)
  0.01    595.15     0.07     1260     0.00     0.00  l2normhelper_
  0.01    595.21     0.06    29043     0.00     0.00  Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)
  0.01    595.25     0.04     1920     0.00     0.00  sommerfeld_routbam_
  0.01    595.29     0.04      240     0.00     0.11  surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)
  0.01    595.33     0.04        9     0.00     0.00  get_ansorg_nbhs_
  0.01    595.36     0.03   231952     0.00     0.00  Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)
  0.00    595.37     0.01   701658     0.00     0.00  Patch::getdX(int)
  0.00    595.38     0.01   230517     0.00     0.00  Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)
  0.00    595.39     0.01    14923     0.00     0.00  Parallel::build_ghost_gsl(Patch*)
  0.00    595.40     0.01    14923     0.00     0.00  Parallel::Sync(Patch*, MyList<var>*, int)
  0.00    595.41     0.01     1093     0.00     0.00  Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)
  0.00    595.42     0.01      120     0.00     0.00  average_
  0.00    595.42     0.00 13214167     0.00     0.00  Block::getdX(int)
  0.00    595.42     0.00  1831248     0.00     0.00  Ansorg::find_point_bisection(double, int, double*, int)
  0.00    595.42     0.00   610416     0.00     0.00  Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)
  0.00    595.42     0.00   610416     0.00     0.00  Ansorg::ps_u_at_xyz(double, double, double)
  0.00    595.42     0.00   150168     0.00     0.00  Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)
  0.00    595.42     0.00   140352     0.00     0.00  Parallel::build_owned_gsl2(Patch*, int)
  0.00    595.42     0.00   120144     0.00     0.00  Parallel::build_owned_gsl0(Patch*, int)
  0.00    595.42     0.00    65696     0.00     0.00  Parallel::build_bulk_gsl(Block*, Patch*)
  0.00    595.42     0.00    42240     0.00     0.00  Block::swapList(MyList<var>*, MyList<var>*, int)
  0.00    595.42     0.00    35552     0.00     0.00  Parallel::build_owned_gsl4(Patch*, int, int)
  0.00    595.42     0.00    21821     0.00     0.00  Parallel::build_complete_gsl(Patch*)
  0.00    595.42     0.00    21000     0.00     0.00  cgh::Interp_One_Point(MyList<var>*, double*, double*, int)
  0.00    595.42     0.00    19327     0.00     0.00  Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)
  0.00    595.42     0.00    19278     0.00     0.00  Parallel::build_buffer_gsl(Patch*)
  0.00    595.42     0.00     8212     0.00     0.00  Parallel::Sync(MyList<Patch>*, MyList<var>*, int)
  0.00    595.42     0.00     4355     0.00     0.00  Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)
  0.00    595.42     0.00     1939     0.00     0.00  misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)
  0.00    595.42     0.00     1406     0.00     0.00  Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)
  0.00    595.42     0.00     1321     0.00     0.00  setpbh(int, double**, double*, int)
