排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
1,57.43,57.43,221.72,221.72,5457,0.04,0.06,compute_rhs_bssn_
2,9.02,66.45,34.84,256.56,130968,0.0,0.0,lopsided_
3,7.11,73.56,27.44,284.0,60027,0.0,0.0,fdderivs_
4,5.99,79.55,23.13,307.13,130968,0.0,0.0,kodis_
5,5.39,84.94,20.81,327.94,91237,0.0,0.0,fderivs_
6,5.17,90.11,19.95,347.89,213254,0.0,0.0,prolong3_
7,2.25,92.36,8.69,356.58,5280,0.0,0.0,enforce_ga_
8,2.2,94.56,8.51,365.09,126720,0.0,0.0,rungekutta4_rout_
9,1.72,96.28,6.63,371.72,757580,0.0,0.0,symmetry_bd_
10,0.87,97.15,3.34,375.06,129206,0.0,0.0,restrict3_
11,0.73,97.88,2.8,377.86,,,,_init
12,0.56,98.44,2.16,380.02,15936,0.0,0.0,average2_
13,0.36,98.8,1.4,381.42,521994240,0.0,0.0,misc::fact(int)
14,0.25,99.05,0.95,382.37,240,0.0,0.0,admmass_bssn_
15,0.2,99.25,0.78,383.15,20,0.04,0.04,getnp4_
16,0.18,99.43,0.7,383.85,1585660,0.0,0.0,copy_
17,0.1,99.53,0.37,384.22,46448640,0.0,0.0,"misc::Wigner_d_function(int, int, int, double)"
18,0.09,99.62,0.33,384.55,1760,0.0,0.0,"Patch::Interp_Points(MyList<var>*, int, double**, double*, int)"
19,0.07,99.69,0.28,384.83,566136,0.0,0.0,"Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)"
20,0.06,99.75,0.23,385.06,240,0.0,0.01,"surface_integral::surf_Wave(double, int, cgh*, var*, var*, int, int, int, double*, double*, monitor*)"
21,0.04,99.79,0.16,385.22,5280,0.0,0.0,lowerboundset_
22,0.04,99.83,0.15,385.37,124800,0.0,0.0,sommerfeld_rout_
23,0.03,99.86,0.13,385.5,29043,0.0,0.0,"Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)"
24,0.03,99.89,0.1,385.6,1920,0.0,0.0,sommerfeld_routbam_
25,0.02,99.91,0.08,385.68,870630,0.0,0.0,"monitor::monitor(char const*, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
26,0.02,99.93,0.08,385.76,840,0.0,0.0,l2normhelper_
27,0.02,99.95,0.06,385.82,1320,0.0,0.27,"bssn_class::Step(int, int)"
28,0.01,99.96,0.04,385.86,240,0.0,0.0,"surface_integral::surf_MassPAng(double, int, cgh*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, var*, double*, monitor*)"
29,0.01,99.97,0.04,385.9,9,0.0,0.0,get_ansorg_nbhs_
30,0.01,99.98,0.02,385.92,13214167,0.0,0.0,Block::getdX(int)
31,0.01,99.99,0.02,385.94,231952,0.0,0.0,"Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)"
32,0.01,100.0,0.02,385.96,14923,0.0,0.0,Parallel::build_ghost_gsl(Patch*)
33,0.01,100.01,0.02,385.98,14923,0.0,0.0,"Parallel::Sync(Patch*, MyList<var>*, int)"
34,0.01,100.02,0.02,386.0,120,0.0,0.0,average_
35,0.0,100.02,0.01,386.01,566136,0.0,0.0,"Ansorg::ps_u_at_xyz(double, double, double)"
36,0.0,100.02,0.01,386.02,21821,0.0,0.0,Parallel::build_complete_gsl(Patch*)
37,0.0,100.02,0.01,386.03,21000,0.0,0.0,"cgh::Interp_One_Point(MyList<var>*, double*, double*, int)"
38,0.0,100.02,0.01,386.04,19278,0.0,0.0,Parallel::build_buffer_gsl(Patch*)
39,0.0,100.02,0.01,386.05,8212,0.0,0.0,"Parallel::Sync(MyList<Patch>*, MyList<var>*, int)"
40,0.0,100.02,0.01,386.06,1406,0.0,0.0,"Parallel::Restrict(MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, int)"
41,0.0,100.02,0.01,386.07,1308,0.0,0.01,bssn_class::Constraint_Out()
42,0.0,100.02,0.0,386.07,1698408,0.0,0.0,"Ansorg::find_point_bisection(double, int, double*, int)"
43,0.0,100.02,0.0,386.07,701658,0.0,0.0,Patch::getdX(int)
44,0.0,100.02,0.0,386.07,566136,0.0,0.0,"Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)"
45,0.0,100.02,0.0,386.07,230517,0.0,0.0,"Patch::Interp_ONE_Point(MyList<var>*, double*, double*, int)"
46,0.0,100.02,0.0,386.07,150168,0.0,0.0,"Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
47,0.0,100.02,0.0,386.07,140352,0.0,0.0,"Parallel::build_owned_gsl2(Patch*, int)"
48,0.0,100.02,0.0,386.07,120144,0.0,0.0,"Parallel::build_owned_gsl0(Patch*, int)"
49,0.0,100.02,0.0,386.07,65696,0.0,0.0,"Parallel::build_bulk_gsl(Block*, Patch*)"
50,0.0,100.02,0.0,386.07,42240,0.0,0.0,"Block::swapList(MyList<var>*, MyList<var>*, int)"
51,0.0,100.02,0.0,386.07,35552,0.0,0.0,"Parallel::build_owned_gsl4(Patch*, int, int)"
52,0.0,100.02,0.0,386.07,19327,0.0,0.0,"Parallel::gsl_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*)"
53,0.0,100.02,0.0,386.07,14835,0.0,0.0,polint_
54,0.0,100.02,0.0,386.07,4355,0.0,0.0,"Parallel::OutBdLow2Hi(Patch*, Patch*, MyList<var>*, MyList<var>*, int)"
55,0.0,100.02,0.0,386.07,1939,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&)"
56,0.0,100.02,0.0,386.07,1321,0.0,0.0,"setpbh(int, double**, double*, int)"
57,0.0,100.02,0.0,386.07,1280,0.0,0.0,"Parallel::PatList_Interp_Points(MyList<Patch>*, MyList<var>*, int, double**, double*, int)"
58,0.0,100.02,0.0,386.07,1260,0.0,0.0,"Parallel::L2Norm(Patch*, var*)"
59,0.0,100.02,0.0,386.07,1093,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
60,0.0,100.02,0.0,386.07,700,0.0,0.0,"cgh::Regrid_Onelevel(int, int, int, double**, double**, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, bool, monitor*)"
61,0.0,100.02,0.0,386.07,640,0.0,0.0,"bssn_class::compute_Porg_rhs(double**, double**, var*, var*, var*, int)"
